"","state","year","spirits","unemp","income","emppop","beertax","baptist","mormon","drinkage","dry","youngdrivers","miles","breath","jail","service","fatal","nfatal","sfatal","fatal1517","nfatal1517","fatal1820","nfatal1820","fatal2124","nfatal2124","afatal","pop","pop1517","pop1820","pop2124","milestot","unempus","emppopus","gsp"
"2","al","1983",1.36000001430511,13.6999998092651,10732.7978515625,52.147029876709,1.78899073600769,30.3335990905762,0.343409985303879,19,22.9941997528076,0.21076799929142,7836.34765625,"no","no","no",930,154,98,71,8,108,26,124,35,341.834014892578,3960008,202000.078125,219125.46875,290000.15625,31032,9.60000038146973,57.9000015258789,0.046558253467083
"9","az","1983",1.89999997615814,9.10000038146973,12693.8076171875,57.5536308288574,0.206422030925751,3.89010000228882,4.83106994628906,19,0,0.203854992985725,6587.49462890625,"no","yes","yes",675,112,60,40,7,83,19,80,17,196.889999389648,2977004.25,138999.890625,157521.4375,218999.890625,19611,9.60000038146973,57.9000015258789,0.0762055367231369
"16","ar","1983",1.20000004768372,10.1000003814697,10433.486328125,53.8147926330566,0.67545872926712,23.0009002685547,0.343409985303879,21,36.4300994873047,0.194168999791145,7175.9169921875,"no","no","no",557,88,47,35,2,65,19,73,22,247.856994628906,2324999,118000.0703125,120698.1015625,159000.171875,16684,9.60000038146973,57.9000015258789,0.040144395083189
"23","ca","1983",2.15000009536743,9.69999980926514,15970.18359375,59.2523345947266,0.103211015462875,1.73469996452332,1.66791999340057,21,0,0.183568999171257,7216.29150390625,"no","no","no",4573,856,487,232,39,513,141,702,206,1251.59997558594,25311062,1126000.5,1309863.125,1886001.75,182652,9.60000038146973,57.9000015258789,0.0530366823077202
"30","co","1983",2.15000009536743,6.59999990463257,15131.880859375,67.3002166748047,0.206422030925751,2.29999995231628,1.83461999893188,21,0.0908219963312149,0.207657992839813,7656.06298828125,"yes","no","yes",646,146,92,44,12,68,20,98,30,217.350006103516,3149007.5,139999.875,167671.96875,243000.109375,24109,9.60000038146973,57.9000015258789,0.029179397970438
"37","ct","1983",2.46000003814697,6,17744.265625,62.2944068908691,0.233563080430031,0.100000001490116,0.251980006694794,19.25,0.0828030034899712,0.189349994063377,6570.04296875,"no","no","no",438,118,85,29,11,61,28,87,31,171.220001220703,3140010,164000.25,160443.484375,215999.875,20630,9.60000038146973,57.9000015258789,0.0736263245344162
"44","de","1983",2.63000011444092,8.10000038146973,14500,59.8684196472168,0.166284397244453,0.699999988079071,0.200000002980232,20,0,0.199483007192612,8062.69970703125,"yes","no","no",110,26,14,8,2,9,3,18,7,33,606000.5,29999.962890625,36059.1640625,48000,4886,9.60000038146973,57.9000015258789,0.0567112825810909
"51","fl","1983",2.46000003814697,8.60000038146973,13924.3115234375,53.7270774841309,1.17041277885437,8.93669986724854,0.400000005960464,19,0,0.177945002913475,7604.25439453125,"yes","no","yes",2686,562,291,132,30,274,92,317,110,963.900024414062,10753980,467000.40625,497250.15625,701000.1875,81776,9.60000038146973,57.9000015258789,0.0770847946405411
"58","ga","1983",1.99000000953674,7.5,12237.3857421875,59.8554191589355,2.61467885971069,24.388500213623,0.440259993076324,19,0.499909996986389,0.206981003284454,8518.58984375,"no","no","no",1296,217,134,97,19,141,45,160,41,389.5,5732991,297000.3125,324141.34375,427000.3125,48837,9.60000038146973,57.9000015258789,0.0790373906493187
"65","id","1983",1.29999995231628,9.80000019073486,11346.330078125,59.8550720214844,0.387041300535202,1.03574001789093,24.9878997802734,19,0,0.228551000356674,8387.6416015625,"no","no","no",263,44,31,15,4,38,12,36,6,88.2799987792969,988001.25,46999.9921875,51676.6640625,69000.015625,8287,9.60000038146973,57.9000015258789,0.0452079996466637
"72","il","1983",1.96000003814697,11.3999996185303,14745.4130859375,57.7456588745117,0.181192666292191,2.37081003189087,0.252000004053116,21,6.3963098526001,0.205004006624222,5862.8681640625,"no","no","no",1526,362,201,96,18,187,64,195,85,501.100006103516,11490963,559998.625,605350.75,827000.0625,67370,9.60000038146973,57.9000015258789,0.0109066776931286
"79","in","1983",1.38999998569489,11.1000003814697,12364.6787109375,56.4842224121094,0.297079116106033,1.85901999473572,0.343400001525879,21,0,0.18019799888134,7277.50634765625,"yes","no","no",1016,212,130,65,11,130,43,146,56,346.769989013672,5473990.5,271999.53125,303874.875,404999.78125,39837,9.60000038146973,57.9000015258789,0.015555702149868
"86","ia","1983",1.23000001907349,8.10000038146973,12573.39453125,60.444652557373,0.361238539218903,0.50397002696991,0.343400001525879,19,0,0.204322993755341,6770.3076171875,"yes","no","no",514,123,72,42,10,77,36,75,32,211.559997558594,2904004,137999.921875,155393.765625,211999.75,19661,9.60000038146973,57.9000015258789,-0.0511713586747646
"93","ks","1983",1.23000001907349,6.09999990463257,13917.431640625,62.4439468383789,0.465137630701065,3.24609994888306,0.440257012844086,21,0,0.204552993178368,7479.61083984375,"no","yes","yes",411,76,45,30,3,59,28,64,16,185.429000854492,2426998,105999.9453125,131373.015625,182000.1875,18153,9.60000038146973,57.9000015258789,0.00948261376470327
"100","ky","1983",1.37999999523163,11.6999998092651,10913.9912109375,55.2205848693848,0.207568794488907,23.9127006530762,0.300000011920929,21,39.2407989501953,0.202714994549751,7194.142578125,"no","no","no",778,148,95,73,14,92,35,101,33,262.608001708984,3713993.75,187000.15625,205142.796875,276999.96875,26719,9.60000038146973,57.9000015258789,0.0128026809543371
"107","la","1983",1.75999999046326,11.8000001907349,11994.265625,53.3670539855957,0.832568824291229,15.1498003005981,0.343414008617401,18,3.40910005569458,0.243498995900154,6208.74169921875,"no","yes","yes",933,168,95,66,13,117,31,142,37,362.470001220703,4440996.5,235000.046875,248966.65625,343000.125,27573,9.60000038146973,57.9000015258789,-0.0619937852025032
"114","me","1983",1.99000000953674,9,11795.87109375,57.259952545166,0.774082601070404,0.100000001490116,0.400000005960464,20,3.40610003471375,0.183961004018784,6920.51708984375,"no","yes","no",224,44,31,22,4,30,9,43,11,91.5950012207031,1145001.125,59000.0546875,61682.7265625,81000.03125,7924,9.60000038146973,57.9000015258789,0.0623603500425816
"121","md","1983",2.38000011444092,6.90000009536743,15644.4951171875,63.1465492248535,0.23165138065815,3.03409004211426,0.343414008617401,21,1.50104999542236,0.204689994454384,7118.8251953125,"yes","no","no",656,167,93,47,11,69,32,102,36,177.330001831055,4300990.5,229999.796875,231722.796875,312000.0625,30618,9.60000038146973,57.9000015258789,0.0579635538160801
"128","ma","1983",2.42000007629395,6.90000009536743,15801.60546875,61.9856910705566,0.27522936463356,0,0.100000001490116,20,1.80020999908447,0.186082005500793,6510.73974609375,"no","no","no",651,198,131,59,12,85,48,109,55,221.520004272461,5766011.5,281999.8125,325323.6875,440999.15625,37541,9.60000038146973,57.9000015258789,0.0677381753921509
"135","mi","1983",1.87000000476837,14.1999998092651,13606.6513671875,54.7484397888184,0.524378418922424,0.637600004673004,0.200000002980232,21,0,0.237243995070457,6721.328125,"yes","no","no",1314,345,200,110,17,163,75,179,78,492.709991455078,9054014,473999,505932.3125,666999.5,60855,9.60000038146973,57.9000015258789,0.0472308322787285
"142","mn","1983",2.10999989509583,8.19999980926514,13840.5966796875,64.7649917602539,0.332568794488907,0.100000001490116,0.200000002980232,19,0,0.191820994019508,7494.07470703125,"yes","no","no",555,124,75,40,13,76,27,82,32,178.565002441406,4145008,203000.34375,226957.3125,309000.21875,31063,9.60000038146973,57.9000015258789,0.0203343108296394
"149","ms","1983",1.47000002861023,12.6000003814697,9513.76171875,50.8762283325195,1.10126149654388,30.0351009368896,0.300000011920929,21,20.0310001373291,0.207435995340347,6891.98828125,"yes","no","no",715,116,71,50,11,76,14,95,22,125.053001403809,2582999.25,139000.09375,149960.171875,193999.890625,17802,9.60000038146973,57.9000015258789,0.00138836214318871
"156","mo","1983",1.26999998092651,9.89999961853027,13186.9267578125,56.7060127258301,0.333097487688065,14.4771003723145,0.50397002696991,21,0,0.201180994510651,7363.07373046875,"no","no","no",911,227,130,64,17,102,44,112,47,351.850006103516,4963009,235000.375,265442.46875,354999.9375,36543,9.60000038146973,57.9000015258789,0.0459877699613571
"163","mt","1983",1.86000001430511,8.80000019073486,11954.12890625,60.4026870727539,0.332939207553864,1.22319996356964,3.29999995231628,19,0,0.225486993789673,8800.240234375,"no","yes","no",286,77,54,15,6,31,11,49,12,112.640998840332,816000.4375,40000,41466.6953125,57999.96875,7181,9.60000038146973,57.9000015258789,-0.00633728504180908
"170","ne","1983",1.50999999046326,5.69999980926514,12919.724609375,63.5976142883301,0.361238539218903,0.686800003051758,0.440259993076324,20,0.0375900007784367,0.212073996663094,7226.7978515625,"yes","no","no",255,67,29,17,6,38,19,42,16,70.9039993286133,1596004.25,73999.9140625,85724.75,117001.421875,11534,9.60000038146973,57.9000015258789,-0.0244698841124773
"177","nv","1983",4.75,9.80000019073486,14863.5322265625,65.2757110595703,0.199971333146095,2.03449988365173,6.15944004058838,21,0,0.191312000155449,7661.0849609375,"yes","yes","yes",253,41,25,12,1,32,8,27,8,57.9189987182617,897000.875,40999.9921875,42000,64000.7578125,6872,9.60000038146973,57.9000015258789,0.0372155383229256
"184","nh","1983",4.59999990463257,5.40000009536743,14662.84375,65.6033248901367,0.567660570144653,0.100000001490116,0.300000011920929,20,0.10428000241518,0.190770998597145,7488.015625,"yes","no","no",191,35,29,21,6,35,7,26,9,63.048999786377,958999.0625,46999.94921875,54569.18359375,70999.453125,7181,9.60000038146973,57.9000015258789,0.0877802893519402
"191","nj","1983",2.24000000953674,7.80000019073486,17275.228515625,58.574146270752,0.0860091745853424,0.100000001490116,0.100000001490116,21,2.79994988441467,0.168255999684334,6992.091796875,"no","no","no",932,210,127,59,16,109,44,138,59,232,7468008.5,393000.59375,370515.75,492998,52217,9.60000038146973,57.9000015258789,0.0659496486186981
"198","nm","1983",1.6599999666214,10.1000003814697,11288.9912109375,55.1411285400391,0.348337173461914,9.67230033874512,2.23438000679016,21,1.38129997253418,0.208832994103432,8329.537109375,"no","no","no",531,83,44,28,4,59,10,66,16,137.309997558594,1401998.75,74000.078125,76850.78125,104000.0625,11678.0009765625,9.60000038146973,57.9000015258789,0.003580950666219
"205","ny","1983",2.05999994277954,8.60000038146973,15573.39453125,54.3515129089355,0.132855504751205,0.100000001490116,0.100000001490116,19,0.20100000500679,0.163120999932289,4737.51123046875,"yes","no","no",2077,436,260,121,23,269,96,248,87,495.690002441406,17685024,885999.0625,910465.9375,1224999.875,83783,9.60000038146973,57.9000015258789,0.0627832859754562
"212","nc","1983",1.55999994277954,8.89999961853027,11455.275390625,59.5545654296875,1.37614679336548,22.1697998046875,0.440259993076324,21,26.7460994720459,0.207259997725487,7411.23291015625,"yes","no","no",1234,212,136,109,19,143,44,177,55,341.619995117188,6076991.5,292999.71875,353018.3125,469999.6875,45038,9.60000038146973,57.9000015258789,0.0797450989484787
"219","nd","1983",1.98000001907349,5.59999990463257,12389.908203125,61.8069839477539,0.412844061851501,0.59280002117157,0.174720004200935,21,0,0.221058994531631,7875.19580078125,"yes","no","no",116,30,23,11,1,9,4,24,9,72,680998.9375,30999.974609375,37844.5078125,54000.05078125,5363,9.60000038146973,57.9000015258789,-0.0663468986749649
"226","oh","1983",1.24000000953674,12.1999998092651,13236.23828125,55.7450523376465,0.412844061851501,1.56620001792908,0.200000002980232,21,11.6408996582031,0.199800997972488,6818.20361328125,"no","yes","no",1582,383,264,129,26,201,74,231,95,744.280029296875,10738019,530000.5,568580.875,765998.9375,73214,9.60000038146973,57.9000015258789,0.0217184890061617
"233","ok","1983",1.46000003814697,9,12784.4033203125,58.4437065124512,0.832568824291229,26.4333992004395,0.59281998872757,21,0,0.202159002423286,8929.328125,"no","no","no",848,152,90,43,11,88,26,103,23,236.369995117188,3310999.5,151000.109375,169964.84375,245000.09375,29565,9.60000038146973,57.9000015258789,-0.0608552880585194
"240","or","1983",1.63999998569489,10.8000001907349,12925.458984375,59.5617523193359,0.216410562396049,1.03569996356964,2.79999995231628,21,0.193599998950958,0.177792996168137,7728.1982421875,"no","no","no",550,92,55,33,8,64,11,79,21,165.050003051758,2659999,118000.0078125,126612.7421875,178000.09375,20557,9.60000038146973,57.9000015258789,0.0343776121735573
"247","pa","1983",1.32000005245209,11.8000001907349,13706.421875,52.9097633361816,0.27522936463356,0.100000001490116,0.251980006694794,21,10.7035999298096,0.17687900364399,6080.38427734375,"yes","no","no",1721,397,237,109,14,211,68,253,102,533.419982910156,11891025,576000.3125,617411.125,833001.375,72302,9.60000038146973,57.9000015258789,0.0207041073590517
"254","ri","1983",2.13000011444092,8.30000019073486,13759.173828125,59.1836738586426,0.167431190609932,0.100000001490116,0.100000001490116,20,1.69459998607635,0.190400004386902,6290.82470703125,"yes","no","no",100,26,22,6,0,12,3,16,7,27.5300006866455,955995.5,43999.8828125,54892.109375,74000.078125,6014,9.60000038146973,57.9000015258789,0.0459321960806847
"261","sc","1983",1.92999994754791,10,10693.8076171875,56.5143127441406,1.98165142536163,24.8582992553711,0.400000005960464,21,0,0.208084002137184,7666.3701171875,"no","yes","yes",844,175,100,58,12,88,26,131,42,277.130004882812,3257995.5,165999.796875,194222.984375,258999.765625,24977,9.60000038146973,57.9000015258789,0.0598180219531059
"268","sd","1983",1.78999996185303,5.40000009536743,11091.7431640625,62.6984100341797,0.690366983413696,0.686800003051758,0.371327012777328,21,0,0.229347005486488,9037.2080078125,"yes","no","no",175,23,19,11,4,12,4,22,3,47,698999.0625,33000.03125,38848.44140625,51999.9921875,6317,9.60000038146973,57.9000015258789,-0.0183846242725849
"275","tn","1983",1.3400000333786,11.5,11183.486328125,55.0641937255859,0.324911683797836,25.6567001342773,0.200000002980232,19,1.87670004367828,0.193915992975235,7733.20947265625,"no","yes","no",1037,193,111,53,10,153,42,141,38,377.890014648438,4688997.5,227000.171875,252969.421875,339999.90625,36261,9.60000038146973,57.9000015258789,0.0414893254637718
"282","tx","1983",1.48000001907349,8,13692.66015625,62.3161430358887,0.416284412145615,17.9622993469238,0.538600027561188,19,11.1786003112793,0.200634002685547,8338.572265625,"no","no","no",3823,915,507,207,51,471,176,592,208,1812.5,15816016,759000.8125,843562.0625,1196000.75,131883,9.60000038146973,57.9000015258789,-0.00256053218618035
"289","ut","1983",0.839999973773956,9.19999980926514,10779.81640625,60.0382385253906,0.629254579544067,0.699999988079071,65.1869964599609,21,1.60500001907349,0.232819005846977,7035.0908203125,"no","yes","yes",283,45,23,25,3,29,9,27,7,67.7399978637695,1595004.25,72000.046875,87107.9140625,127000.2578125,11221,9.60000038146973,57.9000015258789,0.0409858450293541
"296","vt","1983",2.30999994277954,6.90000009536743,12186.9267578125,63.0102043151855,0.683772921562195,0.109999999403954,0.272599995136261,18,0.285699993371964,0.186243996024132,7906.68359375,"yes","no","no",94,19,11,8,2,19,2,21,9,34.0999984741211,524998.875,25000,31841.85546875,41999.99609375,4151,9.60000038146973,57.9000015258789,0.06707863509655
"303","va","1983",1.62000000476837,6.09999990463257,14299.3115234375,62.6408653259277,0.729357779026031,12.6132001876831,0.538600027561188,21,0,0.202383995056152,7609.12548828125,"yes","no","no",901,179,116,51,11,137,49,124,34,268.260009765625,5558983,274000.5625,313002.46875,427000.1875,42299,9.60000038146973,57.9000015258789,0.0720425099134445
"310","wa","1983",1.80999994277954,11.1999998092651,14534.4033203125,57.6717910766602,0.231558486819267,1.17610001564026,2.73948001861572,21,0,0.179464995861053,8395.81640625,"no","yes","no",698,140,105,53,5,92,27,97,31,236.518997192383,4305001,194999.90625,217124,307995.1875,36143.99609375,9.60000038146973,57.9000015258789,0.0425708964467049
"317","wv","1983",0.930000007152557,18,10451.8349609375,42.9931983947754,0.45779013633728,1.57327997684479,0.371329993009567,18.5,0,0.195664003491402,5958.21728515625,"yes","yes","no",425,93,61,23,4,56,21,58,18,153,1963003.25,96000.1328125,98565.65625,134999.890625,11696,9.60000038146973,57.9000015258789,-0.0277932770550251
"324","wi","1983",2.17000007629395,10.3999996185303,13291.2841796875,61.3559303283691,0.166284397244453,0.251980006694794,0.251980006694794,18,1.99916005134583,0.20516200363636,7184.74609375,"yes","no","no",725,196,118,47,10,120,61,114,49,255.776992797852,4747001.5,240000.40625,264019.53125,356997.46875,34106,9.60000038146973,57.9000015258789,0.0160479657351971
"331","wy","1983",1.99000000953674,8.39999961853027,13574.541015625,66.3911819458008,0.0516055077314377,2.54382991790771,8.56692028045654,19,0,0.220633000135422,9804.2548828125,"no","yes","no",173,22,14,11,0,22,6,20,3,62.1069984436035,516000.46875,22999.994140625,25242.580078125,40000,5059,9.60000038146973,57.9000015258789,-0.105678491294384
