NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
G0402419,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.89867804,-89.99807228
G0550019,FIREWORKS,FIREWORKS,70131,4,29.89904596,-89.99876008
L3774019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90177006,-90.00523615
G3897819,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90388551,-89.99326288
A0135619,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90419469,-89.99141229
G3896019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90419469,-89.99141229
L4026619,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90626776,-89.99301051
G0569919,FIREWORKS,FIREWORKS,70131,4,29.9064715,-89.98849118
L3244419,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90866812,-89.9860107
G1453319,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90969882,-89.98920503
G0418019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.91327239,-89.98644596
G0536919,FIREWORKS,FIREWORKS,70131,4,29.91330922,-89.97971708
A0069919,FIREWORKS,FIREWORKS,70131,4,29.91534406,-90.00508293
A0117019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.91547237,-89.98614605
G0532119,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.91562988,-90.00423417
A0071719,FIREWORKS,AGGRAVATED ASSAULT,70131,4,29.91600749,-89.99132284
G0531919,FIREWORKS,FIREWORKS,70131,4,29.91696613,-89.99855619
L3225519,FIREWORKS,DISCHARGING FIREARM,70131,4,29.9171492,-89.99855374
G2942119,FIREWORKS,FIREWORKS,70131,4,29.9172068,-89.99946334
G0424619,FIREWORKS,FIREWORKS,70131,4,29.91753641,-90.00843186
L3233119,FIREWORKS,AGGRAVATED ASSAULT,70115,2,29.91809519,-90.1083235
A0002719,FIREWORKS,AGGRAVATED ASSAULT,70131,4,29.91811752,-90.01152629
L1307619,FIREWORKS,DISCHARGING FIREARM,70114,4,29.91836353,-90.02258447
L3907819,FIREWORKS,DISCHARGING FIREARM,70114,4,29.91840737,-90.0222603
A0011719,FIREWORKS,FIREWORKS,70115,6,29.91892231,-90.08844622
E0456319,FIREWORKS,FIREWORKS,70115,6,29.91921293,-90.08263909
G0533319,FIREWORKS,FIREWORKS,70115,2,29.91942048,-90.10601368
G0529219,FIREWORKS,FIREWORKS,70131,4,29.91956237,-90.00451948
G0535319,FIREWORKS,FIREWORKS,70131,4,29.91956237,-90.00451948
G0540119,FIREWORKS,FIREWORKS,70131,4,29.91958217,-89.97773113
A0134719,FIREWORKS,DISCHARGING FIREARM,70114,4,29.9200472,-90.02231971
I1224619,FIREWORKS,FIREWORKS,70114,4,29.9203857,-90.02225104
L1307319,FIREWORKS,DISCHARGING FIREARM,70114,4,29.92061806,-90.02245838
L4042319,FIREWORKS,FIREWORKS,70131,4,29.92069222,-90.00236544
G2823519,FIREWORKS,DISCHARGING FIREARM,70115,2,29.92080306,-90.10160549
G0538719,FIREWORKS,FIREWORKS,70118,2,29.92111309,-90.1237936
G0557519,FIREWORKS,DISCHARGING FIREARM,70115,6,29.92124071,-90.0807251
G0560219,FIREWORKS,FIREWORKS,70115,2,29.92156152,-90.10298728
A0122019,FIREWORKS,FIREWORKS,70130,6,29.92259274,-90.07603419
G0844619,FIREWORKS,DISCHARGING FIREARM,70131,4,29.92259426,-90.00182462
L4029419,FIREWORKS,FIREWORKS,70131,4,29.92333345,-89.99252103
G0511519,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.92352763,-90.0097566
G2824419,FIREWORKS,DISCHARGING FIREARM,70115,2,29.92461004,-90.10231649
L2890919,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.92509455,-90.11053579
G0548819,FIREWORKS,FIREWORKS,70131,4,29.92715078,-89.999118
G2101419,FIREWORKS,FIREWORKS,70131,4,29.9275197,-90.01383575
G0544319,FIREWORKS,FIREWORKS,70114,4,29.92788576,-90.03148314
G0545819,FIREWORKS,FIREWORKS,70131,4,29.92811799,-90.00341635
G0534519,FIREWORKS,AGGRAVATED ASSAULT,70130,6,29.92816417,-90.07703352
G0420819,FIREWORKS,FIREWORKS,70130,6,29.92869372,-90.07261878
G0847419,FIREWORKS,FIREWORKS,70114,4,29.92880481,-90.01985895
A0133919,FIREWORKS,FIREWORKS,70131,4,29.92917644,-90.00351613
L2889819,FIREWORKS,AGGRAVATED ASSAULT,70115,2,29.92957896,-90.11036855
G0552619,FIREWORKS,DISCHARGING FIREARM,70130,6,29.92961192,-90.07313282
L4031319,FIREWORKS,FIREWORKS,70115,6,29.9298637,-90.09907185
G2085219,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93004856,-90.0957169
G0422419,FIREWORKS,FIREWORKS,70130,6,29.93008878,-90.07231843
H3833819,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93053829,-90.07302167
G1836419,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93104073,-90.09286534
G1967919,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93146171,-90.07246403
L4010119,FIREWORKS,FIREWORKS,70114,4,29.93153508,-90.01244249
K3049219,FIREWORKS,DISCHARGING FIREARM,70114,4,29.93155724,-90.02159127
G0549719,FIREWORKS,FIREWORKS,70115,6,29.93178044,-90.09084683
A0134819,FIREWORKS,FIREWORKS,70115,6,29.9319741,-90.0970328
L4022519,FIREWORKS,DISTURBANCE (OTHER),70114,4,29.93202548,-90.03483495
L3901019,FIREWORKS,FIREWORKS,70130,6,29.93212087,-90.07428304
H3833619,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93219005,-90.07216928
G0585219,FIREWORKS,FIREWORKS,70115,6,29.93253392,-90.08725088
L2243519,FIREWORKS,DISCHARGING FIREARM,70114,4,29.9326365,-90.02659475
G0534019,FIREWORKS,FIREWORKS,70113,6,29.93358735,-90.0856046
A0364819,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93389064,-90.08996126
G0547319,FIREWORKS,FIREWORKS,70114,4,29.93398815,-90.02059903
A0129319,FIREWORKS,FIREWORKS,70115,2,29.93420729,-90.10411879
L4048719,FIREWORKS,DISTURBANCE (OTHER),70114,4,29.9342734,-90.03276485
L4024819,FIREWORKS,FIREWORKS,70114,4,29.93438829,-90.03211025
F3734419,FIREWORKS,DISTURBANCE (OTHER),70130,6,29.93443663,-90.07244446
K2204719,FIREWORKS,DISCHARGING FIREARM,70118,2,29.9345263,-90.12357112
L2648519,FIREWORKS,DISCHARGING FIREARM,70131,4,29.93477829,-90.0039713
A0585719,FIREWORKS,FIREWORKS,70115,6,29.93495796,-90.09704453
L4037619,FIREWORKS,AGGRAVATED ASSAULT,70115,6,29.93495796,-90.09704453
L4046519,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.9350356,-90.11030273
G0536619,FIREWORKS,DISCHARGING FIREARM,70115,6,29.935273,-90.09301004
G0545919,FIREWORKS,FIREWORKS,70130,6,29.9352808,-90.07403122
A0008119,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93587919,-90.097169
L3243119,FIREWORKS,FIREWORKS,70114,4,29.93638552,-90.02382785
A0120719,FIREWORKS,FIREWORKS,70130,6,29.93664503,-90.06922342
L4041419,FIREWORKS,FIREWORKS,70130,6,29.93672333,-90.06977026
A0874619,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.9369145,-90.1066515
K2206019,FIREWORKS,AGGRAVATED ASSAULT,70115,2,29.9369145,-90.1066515
L4053319,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.9369145,-90.1066515
L4041719,FIREWORKS,FIREWORKS,70115,2,29.9369145,-90.1066515
A0122619,FIREWORKS,FIREWORKS,70130,6,29.93703513,-90.07046417
G0553319,FIREWORKS,FIREWORKS,70113,6,29.9370423,-90.08844045
L4035619,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.93721187,-90.10806614
G0546519,FIREWORKS,FIREWORKS,70115,2,29.93746349,-90.11187885
G0531119,FIREWORKS,FIREWORKS,70115,2,29.93747835,-90.1068542
L4016319,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.93747835,-90.1068542
A0519119,FIREWORKS,DISCHARGING FIREARM,70115,6,29.9375179,-90.09087429
K2230319,FIREWORKS,FIREWORKS,70114,4,29.93774943,-90.01720576
L4053019,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93785004,-90.06949455
G0867119,FIREWORKS,FIREWORKS,70114,4,29.93805054,-90.02736455
G0528119,FIREWORKS,FIREWORKS,70114,4,29.93805548,-90.02633302
A2614819,FIREWORKS,DISCHARGING FIREARM,70113,6,29.93807115,-90.08791481
L4016919,FIREWORKS,DISTURBANCE (OTHER),70130,6,29.9385538,-90.07273327
L3315319,FIREWORKS,DISCHARGING FIREARM,70118,2,29.93865289,-90.13021139
L3234319,FIREWORKS,DISCHARGING FIREARM,70118,2,29.93885932,-90.11785952
G0410319,FIREWORKS,DISCHARGING FIREARM,70113,6,29.93917673,-90.08496144
D1832319,FIREWORKS,DISCHARGING FIREARM,70114,4,29.93946187,-90.03027856
G0993019,FIREWORKS,FIREWORKS,70125,2,29.94070448,-90.09996605
K0381219,FIREWORKS,DISCHARGING FIREARM,70125,2,29.94115493,-90.10594759
A0130619,FIREWORKS,FIREWORKS,70113,6,29.94149193,-90.09160259
G0526319,FIREWORKS,DISTURBANCE (OTHER),70113,6,29.94151236,-90.08347499
L4036619,FIREWORKS,FIREWORKS,70114,4,29.94169856,-90.0422248
K0283719,FIREWORKS,AGGRAVATED ASSAULT,70118,2,29.94170116,-90.13207511
G0533619,FIREWORKS,FIREWORKS,70113,6,29.94247438,-90.08130286
G0536319,FIREWORKS,FIREWORKS,70125,2,29.9428815,-90.10687514
L4045619,FIREWORKS,FIREWORKS,70113,6,29.94298802,-90.08511956
L3244219,FIREWORKS,AGGRAVATED ASSAULT,70113,6,29.94342996,-90.0886264
K0380419,FIREWORKS,DISTURBANCE (OTHER),70125,2,29.94348672,-90.1068521
A0128819,FIREWORKS,FIREWORKS,70114,4,29.9439743,-90.03891444
A0003819,FIREWORKS,DISCHARGING FIREARM,70118,2,29.94464948,-90.12646424
L4040619,FIREWORKS,DISTURBANCE (OTHER),70125,6,29.94466851,-90.09284151
L4029319,FIREWORKS,DISTURBANCE (OTHER),70125,6,29.9448399,-90.09279624
A0006919,FIREWORKS,FIREWORKS,70125,2,29.94498706,-90.10538336
G0542919,FIREWORKS,FIREWORKS,70130,8,29.9450776,-90.06822568
G0672319,FIREWORKS,EXPLOSION,70118,2,29.94531581,-90.12743304
K0379319,FIREWORKS,AGGRAVATED ASSAULT,70125,2,29.94561164,-90.10799262
E1531919,FIREWORKS,DISCHARGING FIREARM,70125,6,29.94651029,-90.09575962
A0248119,FIREWORKS,FIREWORKS,70125,2,29.94745998,-90.10433323
L3241719,FIREWORKS,FIGHT,70125,2,29.94756717,-90.10294375
G0537519,FIREWORKS,FIREWORKS,70125,6,29.94767934,-90.09736179
A0002419,FIREWORKS,FIREWORKS,70125,2,29.94800088,-90.1008904
K2522919,FIREWORKS,DISCHARGING FIREARM,70118,2,29.94814223,-90.12424629
L4046319,FIREWORKS,FIREWORKS,70114,4,29.94862367,-90.04517751
L4041019,FIREWORKS,FIREWORKS,70130,8,29.94897778,-90.06286433
G2286419,FIREWORKS,DISCHARGING FIREARM,70130,8,29.94945132,-90.06746495
G0538819,FIREWORKS,FIREWORKS,70118,2,29.95055989,-90.11998494
G0531519,FIREWORKS,FIREWORKS,70118,2,29.95125752,-90.12646027
A1704819,FIREWORKS,AGGRAVATED ASSAULT,70112,8,29.95176323,-90.07460924
A1195219,FIREWORKS,FIREWORKS,70114,4,29.95190221,-90.04672575
K0523819,FIREWORKS,DISCHARGING FIREARM,70118,2,29.95206843,-90.13543057
F4139519,FIREWORKS,DISCHARGING FIREARM,70125,2,29.95216937,-90.11201403
C0000619,FIREWORKS,DISCHARGING FIREARM,70118,2,29.95232947,-90.12387345
I0149919,FIREWORKS,COMPLAINT OTHER,70130,8,29.95387431,-90.06961942
A0023819,FIREWORKS,FIREWORKS,70112,8,29.95412834,-90.07481351
I0522419,FIREWORKS,DISCHARGING FIREARM,70118,2,29.95428753,-90.13021544
F2590819,FIREWORKS,DISCHARGING FIREARM,70118,2,29.95434859,-90.12864498
G0859619,FIREWORKS,FIREWORKS,70114,4,29.95506985,-90.05007051
L3905619,FIREWORKS,FIREWORKS,70125,6,29.95568379,-90.10165329
A0004719,FIREWORKS,DISCHARGING FIREARM,70125,6,29.95580204,-90.10171227
G0228419,FIREWORKS,DISCHARGING FIREARM,70125,2,29.95611573,-90.11578688
A0019219,FIREWORKS,FIREWORKS,70112,1,29.95660889,-90.07359467
L0862219,FIREWORKS,DISCHARGING FIREARM,70117,5,29.957067,-90.0171436
G0549619,FIREWORKS,FIREWORKS,70125,2,29.95723626,-90.11128717
L4042219,FIREWORKS,FIREWORKS,70117,5,29.95739933,-90.01407177
L3213119,FIREWORKS,DISCHARGING FIREARM,70118,2,29.95746513,-90.12968621
E3905019,FIREWORKS,DISCHARGING FIREARM,70125,2,29.9578406,-90.10683401
G0476319,FIREWORKS,EXPLOSION,70118,2,29.95823425,-90.1214688
G0538119,FIREWORKS,DISCHARGING FIREARM,70112,1,29.95826471,-90.07219471
A0131919,FIREWORKS,DISCHARGING FIREARM,70112,1,29.95826471,-90.07219471
A0126719,FIREWORKS,DISCHARGING FIREARM,70112,1,29.95826471,-90.07219471
L4033119,FIREWORKS,DISCHARGING FIREARM,70112,1,29.95826471,-90.07219471
K4055619,FIREWORKS,DISCHARGING FIREARM,70117,5,29.95834934,-90.02279331
G0409519,FIREWORKS,AGGRAVATED ASSAULT,70117,5,29.95874006,-90.01768353
G1833719,FIREWORKS,DISCHARGING FIREARM,70119,1,29.95885429,-90.09092119
A2661419,FIREWORKS,DISCHARGING FIREARM,70125,2,29.96012198,-90.10536667
G0552019,FIREWORKS,FIREWORKS,70118,2,29.96020001,-90.12389783
G0689419,FIREWORKS,FIREWORKS,70117,5,29.96026731,-90.02213812
G1738919,FIREWORKS,COMPLAINT OTHER,70116,8,29.96042737,-90.06272621
G0554519,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96062332,-90.01075369
G1738419,FIREWORKS,FIREWORKS,70116,8,29.96090331,-90.05892279
L4049519,FIREWORKS,INCIDENT REQUESTED BY ANOTHER AGENCY,70117,5,29.96113593,-90.01583862
L4013619,FIREWORKS,DISTURBANCE (OTHER),70112,1,29.96163576,-90.07721329
G0545219,FIREWORKS,FIREWORKS,70117,5,29.96167877,-90.03698603
G0535219,FIREWORKS,AGGRAVATED ASSAULT,70117,5,29.96171113,-90.03259292
G1738619,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96236683,-90.05882447
L4024619,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96246347,-90.08872937
L4035119,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96246347,-90.08872937
G0535719,FIREWORKS,FIREWORKS,70117,5,29.96252932,-90.03207327
J3286319,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96266173,-90.053867
G1598919,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96290649,-90.0626184
G0531619,FIREWORKS,FIREWORKS,70118,2,29.96302014,-90.11787084
A3316019,FIREWORKS,DISCHARGING FIREARM,70116,8,29.96308169,-90.06455203
A0224919,FIREWORKS,EXPLOSION,70117,5,29.96339914,-90.00711455
A0134919,FIREWORKS,FIREWORKS,70119,1,29.96341439,-90.09431727
A4140019,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96389269,-90.04724439
I1565919,FIREWORKS,FIREWORKS,70116,1,29.96413298,-90.07304389
H1543019,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.96494911,-90.03767364
G0557319,FIREWORKS,FIREWORKS,70117,5,29.96496501,-90.04238482
G0559019,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.96496501,-90.04238482
G0587719,FIREWORKS,FIREWORKS,70125,6,29.96500286,-90.10758167
K0557219,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96506464,-90.09038482
F2772519,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96552556,-90.06806934
L3313319,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96556049,-90.03439555
L4045519,FIREWORKS,FIREWORKS,70117,5,29.96559204,-90.03541993
G0990919,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96577389,-90.03536458
G0539219,FIREWORKS,FIREWORKS,70119,1,29.96583175,-90.09962365
