,Murder,Assault,UrbanPop,Rape,Region
Alabama,13.2,236,58,21.2,South
Alaska,10,263,48,44.5,West
Arizona,8.1,294,80,31,West
Arkansas,8.8,190,50,19.5,South
California,9,276,91,40.6,West
Colorado,7.9,204,78,38.7,West
Connecticut,3.3,110,77,11.1,Northeast
Delaware,5.9,238,72,15.8,Northeast
Florida,15.4,335,80,31.9,South
Georgia,17.4,211,60,25.8,South
Hawaii,5.3,46,83,20.2,West
Idaho,2.6,120,54,14.2,West
Illinois,10.4,249,83,24,Midwest
Indiana,7.2,113,65,21,Midwest
Iowa,2.2,56,57,11.3,Midwest
Kansas,6,115,66,18,Midwest
Kentucky,9.7,109,52,16.3,South
Louisiana,15.4,249,66,22.2,South
Maine,2.1,83,51,7.8,Northeast
Maryland,11.3,300,67,27.8,South
Massachusetts,4.4,149,85,16.3,Northeast
Michigan,12.1,255,74,35.1,Midwest
Minnesota,2.7,72,66,14.9,Midwest
Mississippi,16.1,259,44,17.1,South
Missouri,9,178,70,28.2,Midwest
Montana,6,109,53,16.4,West
Nebraska,4.3,102,62,16.5,Midwest
Nevada,12.2,252,81,46,West
New Hampshire,2.1,57,56,9.5,Northeast
New Jersey,7.4,159,89,18.8,Northeast
New Mexico,11.4,285,70,32.1,West
New York,11.1,254,86,26.1,Northeast
North Carolina,13,337,45,16.1,South
North Dakota,0.8,45,44,7.3,Midwest
Ohio,7.3,120,75,21.4,Midwest
Oklahoma,6.6,151,68,20,South
Oregon,4.9,159,67,29.3,West
Pennsylvania,6.3,106,72,14.9,Northeast
Rhode Island,3.4,174,87,8.3,Northeast
South Carolina,14.4,279,48,22.5,South
South Dakota,3.8,86,45,12.8,Midwest
Tennessee,13.2,188,59,26.9,South
Texas,12.7,201,80,25.5,South
Utah,3.2,120,80,22.9,West
Vermont,2.2,48,32,11.2,Northeast
Virginia,8.5,156,63,20.7,South
Washington,4,145,73,26.2,West
West Virginia,5.7,81,39,9.3,South
Wisconsin,2.6,53,66,10.8,Midwest
Wyoming,6.8,161,60,15.6,West