state,year,miles,fatalities,seatbelt,speed65,speed70,drinkage,alcohol,income,age,enforce
AK,1983,3358,150,NA,no,no,yes,no,17973,28.23496628,no
AK,1984,3589,134,NA,no,no,yes,no,18093,28.3435421,no
AK,1985,3840,127,NA,no,no,yes,no,18925,28.37281609,no
AK,1986,4008,101,NA,no,no,yes,no,18466,28.39665222,no
AK,1987,3900,76,NA,no,no,yes,no,18021,28.45325089,no
AK,1988,3841,97,NA,no,no,yes,no,18447,28.85141945,no
AK,1989,3887,84,NA,no,no,yes,no,19970,29.14895439,no
AK,1990,3979,98,0.449999988,no,no,yes,no,21073,29.58628464,no
AK,1991,4021,101,0.660000026,no,no,yes,no,21496,29.82771111,secondary
AK,1992,3841,108,0.660000026,yes,no,yes,no,22073,30.21069717,secondary
AK,1993,3918,118,0.689999998,yes,no,yes,no,22711,30.46438599,secondary
AK,1994,4150,85,0.689999998,yes,no,yes,no,23417,30.75657082,secondary
AK,1995,4123,87,0.689999998,yes,no,yes,no,23971,31.1785965,secondary
AK,1996,4115,81,0.689999998,yes,no,yes,no,24310,31.44535446,secondary
AK,1997,4387,77,0.689999998,yes,no,yes,no,24969,31.60147476,secondary
AL,1983,31032,930,NA,no,no,no,no,9505,34.20064545,no
AL,1984,32961,932,0.129999995,no,no,no,no,10417,34.42163086,no
AL,1985,35091,882,0.170000002,no,no,yes,no,11133,34.60256958,no
AL,1986,34003,1081,0.289999992,no,no,yes,no,11736,34.76067352,no
AL,1987,37426,1111,0.209999993,yes,no,yes,no,12394,34.95565796,no
AL,1988,39684,1024,0.289999992,yes,no,yes,no,13288,35.13695526,no
AL,1989,40765,1029,0.379999995,yes,no,yes,no,14266,35.32785797,no
AL,1990,42347,1121,0.439999998,yes,no,yes,no,15213,35.6229248,no
AL,1991,42924,1116,0.469999999,yes,no,yes,no,15895,35.68873596,no
AL,1992,45762,1031,0.579999983,yes,no,yes,no,16817,35.83261871,secondary
AL,1993,47337,1044,0.550000012,yes,no,yes,no,17398,35.94825363,secondary
AL,1994,48956,1083,0.550000012,yes,no,yes,no,18163,36.0920105,secondary
AL,1995,50628,1114,0.519999981,yes,yes,yes,yes,19041,36.2057457,secondary
AL,1996,51433,1146,0.540000021,yes,yes,yes,yes,19838,36.38513184,secondary
AL,1997,53458,1192,0.519999981,yes,yes,yes,yes,20672,36.50072098,secondary
AR,1983,16684,557,NA,no,no,yes,no,9267,35.42213821,no
AR,1984,16621,525,NA,no,no,yes,no,10263,35.56396484,no
AR,1985,17112,534,NA,no,no,yes,no,10919,35.6919136,no
AR,1986,17555,603,0.197999999,no,no,yes,no,11409,35.86726761,no
AR,1987,18306,639,NA,yes,no,yes,no,11842,36.00813293,no
AR,1988,19219,610,0.300999999,yes,no,yes,no,12637,36.14386749,no
AR,1989,20414,647,NA,yes,no,yes,no,13353,36.29208374,no
AR,1990,21011,604,0.340000004,yes,no,yes,no,14025,36.42568207,no
AR,1991,21934,608,0.519999981,yes,no,yes,no,14766,36.46631622,secondary
AR,1992,23081,588,0.550000012,yes,no,yes,no,15807,36.50569916,secondary
AR,1993,23995,583,0.550000012,yes,no,yes,no,16380,36.59257507,secondary
AR,1994,24948,609,0.50999999,yes,no,yes,no,17090,36.62239075,secondary
AR,1995,26653,631,0.50999999,yes,no,yes,no,17934,36.62849045,secondary
AR,1996,27840,615,0.479999989,yes,no,yes,no,18808,36.66523743,secondary
AR,1997,28144,660,0.479999989,yes,no,yes,no,19595,36.81757736,secondary
AZ,1983,19611,675,NA,no,no,no,no,11277,34.11421967,no
AZ,1984,20613,869,NA,no,no,yes,no,12375,34.24707031,no
AZ,1985,21580,893,NA,no,no,yes,no,13280,34.33135986,no
AZ,1986,22665,1007,NA,no,no,yes,no,13980,34.4753418,no
AZ,1987,31729,939,NA,yes,no,yes,no,14631,34.54302597,no
AZ,1988,34247,944,NA,yes,no,yes,no,15246,34.65613174,no
AZ,1989,34816,879,NA,yes,no,yes,no,15919,34.70410919,no
AZ,1990,35456,869,0.550000012,yes,no,yes,no,16608,34.88562393,no
AZ,1991,34929,816,0.649999976,yes,no,yes,no,16971,35.0049057,secondary
AZ,1992,35047,809,0.730000019,yes,no,yes,no,17583,35.19246674,secondary
AZ,1993,39150,801,0.730000019,yes,no,yes,no,18270,35.28326035,secondary
AZ,1994,38774,904,0.600000024,yes,no,yes,no,19127,35.49593353,secondary
AZ,1995,39653,1035,0.600000024,yes,yes,yes,no,20078,35.4948616,secondary
AZ,1996,42123,994,0.560000002,yes,yes,yes,no,21071,35.55243301,secondary
AZ,1997,43491,951,0.629999995,yes,yes,yes,no,21998,35.70043564,secondary
CA,1983,182652,4573,NA,no,no,yes,no,14258,33.73745728,no
CA,1984,196537,5020,NA,no,no,yes,no,15593,33.78442764,no
CA,1985,207600,4960,0.257999986,no,no,yes,no,16523,33.80182648,no
CA,1986,214913,5253,0.454300016,no,no,yes,no,17255,33.81114197,secondary
CA,1987,226301,5504,0.480999976,yes,no,yes,no,18175,33.82216263,secondary
CA,1988,241575,5392,0.50849998,yes,no,yes,no,19263,33.8038063,secondary
CA,1989,251482,5412,0.532999992,yes,no,yes,no,20226,33.75920868,secondary
CA,1990,258926,5192,0.57099998,yes,no,yes,yes,21363,33.83672333,secondary
CA,1991,257976,4688,0.593499959,yes,no,yes,yes,21491,33.79849243,secondary
CA,1992,262548,4192,0.666000009,yes,no,yes,yes,22191,33.89958191,secondary
CA,1993,266408,4164,0.813000023,yes,no,yes,yes,22430,33.98205948,secondary
CA,1994,271943,4232,0.826999962,yes,no,yes,yes,22953,34.05400467,secondary
CA,1995,276371,4192,0.816999972,yes,yes,yes,yes,23983,34.17737198,secondary
CA,1996,278043,3989,0.845000029,yes,yes,yes,yes,25142,34.2943306,secondary
CA,1997,285612,3688,0.851999998,yes,yes,yes,yes,26314,34.48209,secondary
CO,1983,24109,646,NA,no,no,no,no,13460,32.60922623,no
CO,1984,24588,608,NA,no,no,no,no,14597,32.79043961,no
CO,1985,26146,579,NA,no,no,no,no,15224,32.94545746,no
CO,1986,26382,603,NA,no,no,no,no,15571,33.11536407,no
CO,1987,26968,591,NA,yes,no,yes,no,16147,33.29123688,secondary
CO,1988,27665,497,NA,yes,no,yes,no,16985,33.52191925,secondary
CO,1989,27577,527,NA,yes,no,yes,no,18110,33.77364349,secondary
CO,1990,27178,544,0.5,yes,no,yes,no,19290,34.01882935,secondary
CO,1991,27744,543,0.50999999,yes,no,yes,no,20099,34.17677307,secondary
CO,1992,28927,522,0.5,yes,no,yes,no,21005,34.34635162,secondary
CO,1993,32718,559,0.529999971,yes,no,yes,no,22117,34.55241013,secondary
CO,1994,33705,586,0.540000021,yes,no,yes,no,23019,34.7841568,secondary
CO,1995,35058,645,0.560000002,yes,no,yes,no,24304,34.98941803,secondary
CO,1996,36141,617,0.560000002,yes,no,yes,no,25627,35.19138718,secondary
CO,1997,37746,613,0.589999974,yes,no,yes,no,27015,35.31958771,secondary
CT,1983,20630,438,NA,no,no,no,no,15620,36.03425217,no
CT,1984,21076,469,NA,no,no,no,no,17360,36.1912384,no
CT,1985,22152,448,NA,no,no,yes,no,18531,36.30097961,no
CT,1986,24053,455,NA,no,no,yes,no,19815,36.35538483,primary
CT,1987,26775,449,NA,no,no,yes,no,21588,36.45134735,primary
CT,1988,26062,484,NA,no,no,yes,no,23699,36.50170517,primary
CT,1989,26183,406,NA,no,no,yes,no,25407,36.57437897,primary
CT,1990,26303,385,0.589999974,no,no,yes,no,26453,36.77009583,primary
CT,1991,26628,310,0.610000014,yes,no,yes,no,26721,36.82064056,primary
CT,1992,26459,296,0.709999979,no,no,yes,no,28345,36.97710037,primary
CT,1993,27001,342,0.709999979,no,no,yes,no,29232,37.06562042,primary
CT,1994,27138,310,0.720000029,no,no,yes,no,30310,37.16059113,primary
CT,1995,28045,317,0.720000029,no,no,yes,no,32073,37.27995682,primary
CT,1996,28135,310,0.620000005,no,no,yes,no,33979,37.42756653,primary
CT,1997,28552,339,0.639999986,no,no,yes,no,35863,37.54727936,primary
DC,1983,3099,66,NA,no,no,no,no,15267,35.72385406,no
DC,1984,3214,64,NA,no,no,no,no,16620,35.83572769,no
DC,1985,3223,60,NA,no,no,no,no,17531,35.88742828,no
DC,1986,3287,44,NA,no,no,yes,no,18335,35.89140701,secondary
DC,1987,3368,53,NA,yes,no,yes,no,19566,35.97663879,secondary
DC,1988,3405,61,NA,yes,no,yes,no,21782,36.04153824,secondary
DC,1989,3414,72,NA,yes,no,yes,no,23438,36.11649704,secondary
DC,1990,3407,48,0.49000001,yes,no,yes,no,25646,36.91365433,secondary
DC,1991,3430,63,0.49000001,yes,no,yes,no,27028,36.86104965,secondary
DC,1992,3562,50,0.589999974,yes,no,yes,no,28597,37.04135132,secondary
DC,1993,3485,57,0.620000005,yes,no,yes,no,29912,37.23085785,secondary
DC,1994,3448,69,0.620000005,yes,no,yes,no,31212,37.42154312,secondary
DC,1995,3465,58,0.629999995,yes,no,yes,no,32398,37.65044785,secondary
DC,1996,3316,62,0.579999983,yes,no,yes,no,34213,38.06774902,secondary
DC,1997,3326,60,0.660000026,yes,no,yes,no,35704,38.37567139,secondary
DE,1983,4886,110,NA,no,no,yes,no,13159,34.22154617,no
DE,1984,5138,130,NA,no,no,yes,no,14291,34.42246628,no
DE,1985,5365,104,NA,no,no,yes,no,15451,34.56594086,no
DE,1986,5762,136,NA,no,no,yes,no,16257,34.70903015,no
DE,1987,6086,146,NA,yes,no,yes,no,17423,34.9120903,no
DE,1988,6404,160,NA,yes,no,yes,no,18878,35.06134796,no
DE,1989,6446,116,NA,yes,no,yes,no,20563,35.17412949,no
DE,1990,6548,138,0.449999988,yes,no,yes,no,21590,35.42388916,no
DE,1991,6721,102,0.540000021,yes,no,yes,no,22241,35.49124908,no
DE,1992,6892,140,0.699999988,yes,no,yes,no,23004,35.65156174,secondary
DE,1993,6895,110,0.629999995,yes,no,yes,no,23542,35.84437561,secondary
DE,1994,7025,112,0.589999974,yes,no,yes,no,24465,35.96849823,secondary
DE,1995,7515,121,0.629999995,yes,no,yes,no,25603,36.24026871,secondary
DE,1996,7666,116,0.620000005,yes,no,yes,no,27125,36.46009445,secondary
DE,1997,8007,143,0.589999974,yes,no,yes,no,28493,36.59891891,secondary
FL,1983,81776,2686,NA,no,no,no,no,12469,38.51541901,no
FL,1984,85475,2814,NA,no,no,no,no,13476,38.63661194,no
FL,1985,88056,2832,0.22299999,no,no,yes,no,14367,38.70985794,no
FL,1986,87273,2831,0.344500005,no,no,yes,no,15102,38.73518372,no
FL,1987,93819,2839,0.551500022,yes,no,yes,no,16001,38.80276108,secondary
FL,1988,105319,3078,0.470999986,yes,no,yes,no,17092,38.82339859,secondary
FL,1989,108877,2984,0.550000012,yes,no,yes,no,18405,38.87442398,secondary
FL,1990,109997,2891,0.529999971,yes,no,yes,no,19127,38.69661331,secondary
FL,1991,113483,2463,0.529500008,yes,no,yes,no,19451,38.76631165,secondary
FL,1992,114311,2427,0.557999969,yes,no,yes,no,19910,38.83504486,secondary
FL,1993,120467,2636,0.615999997,yes,no,yes,no,21080,38.86478043,secondary
FL,1994,121989,2687,0.601999998,yes,no,yes,yes,21761,38.92696762,secondary
FL,1995,127801,2805,0.589999974,yes,yes,yes,yes,22676,38.99817276,secondary
FL,1996,130004,2753,0.627000034,yes,yes,yes,yes,23834,39.10276794,secondary
FL,1997,134007,2785,0.600000024,yes,yes,yes,yes,24799,39.16958237,secondary
GA,1983,48837,1296,NA,no,no,no,no,10742,32.93328476,no
GA,1984,50486,1410,NA,no,no,no,no,12028,33.10338593,no
GA,1985,53713,1361,NA,no,no,no,no,12928,33.20223618,no
GA,1986,56833,1530,NA,no,no,yes,no,13768,33.30276871,no
GA,1987,60293,1599,0.197999999,no,no,yes,no,14562,33.43366241,no
GA,1988,62262,1654,0.277999997,yes,no,yes,no,15591,33.50747299,secondary
GA,1989,75705,1632,0.387999982,yes,no,yes,no,16466,33.58586502,secondary
GA,1990,72746,1562,0.416999996,yes,no,yes,no,17385,33.8595314,secondary
GA,1991,73005,1389,0.45599997,yes,no,yes,no,17930,33.96189117,secondary
GA,1992,77904,1315,0.460999995,yes,no,yes,no,18888,34.09487534,secondary
GA,1993,78426,1394,0.572000027,yes,no,yes,no,19668,34.17944336,secondary
GA,1994,82822,1425,0.529000044,yes,no,yes,no,20632,34.30394745,secondary
GA,1995,85384,1488,0.507000029,yes,yes,yes,no,21696,34.41507721,secondary
GA,1996,89132,1573,0.611000001,yes,yes,yes,no,22900,34.52568436,secondary
GA,1997,93317,1577,0.680000007,yes,yes,yes,yes,23882,34.63507843,secondary
HI,1983,5873,141,NA,no,no,no,no,13028,32.71693039,no
HI,1984,6505,138,NA,no,no,no,no,13740,32.93846512,no
HI,1985,6762,126,0.330000013,no,no,no,no,14494,33.16085815,no
HI,1986,6971,120,0.726000011,no,no,yes,no,15325,33.48085785,primary
HI,1987,7218,139,0.661000013,no,no,yes,no,16262,33.816185,primary
HI,1988,7419,148,0.665000021,no,no,yes,no,17815,34.10531235,primary
HI,1989,7750,149,0.783000052,no,no,yes,no,19395,34.37185669,primary
HI,1990,8066,177,0.805000007,no,no,yes,no,21529,34.87897491,primary
HI,1991,8143,135,0.853000045,no,no,yes,no,22171,34.97967529,primary
HI,1992,8066,129,0.83099997,no,no,yes,no,22906,35.17717361,primary
HI,1993,8074,134,0.841999948,no,no,yes,no,23638,35.34814453,primary
HI,1994,7935,122,0.824999988,no,no,yes,no,24090,35.52658081,primary
HI,1995,7945,130,0.799000025,no,no,yes,no,24848,35.7653923,primary
HI,1996,8030,148,0.800000012,no,no,yes,no,25086,36.07123947,primary
HI,1997,7947,131,0.800000012,no,no,yes,yes,25598,36.39650726,primary
IA,1983,19661,514,NA,no,no,no,no,11218,35.41376877,no
IA,1984,20497,420,NA,no,no,no,no,12460,35.60499954,no
IA,1985,20191,474,0.180000007,no,no,no,no,13042,35.81484604,no
IA,1986,20413,441,0.430000007,no,no,yes,no,13688,36.08493423,primary
IA,1987,20808,491,0.560000002,yes,no,yes,no,14511,36.37153244,primary
IA,1988,21907,557,0.550000012,yes,no,yes,no,14882,36.56856537,primary
IA,1989,22571,514,0.589999974,yes,no,yes,no,16058,36.66881943,primary
IA,1990,22993,465,0.610000014,yes,no,yes,no,16885,36.66960144,primary
IA,1991,23020,488,0.680000007,yes,no,yes,no,17304,36.6919632,primary
IA,1992,23926,437,0.709999979,yes,no,yes,no,18368,36.85264969,primary
IA,1993,25118,459,0.730000019,yes,no,yes,no,18461,36.9394455,primary
IA,1994,25737,478,0.730000019,yes,no,yes,no,19964,37.05332565,primary
IA,1995,25987,527,0.75999999,yes,no,yes,no,20412,37.20432281,primary
IA,1996,26880,465,0.75,yes,no,yes,no,22032,37.29957581,primary
IA,1997,27984,468,0.75,yes,no,yes,no,23120,37.37586594,primary
ID,1983,8287,263,NA,no,no,no,no,10122,32.17271423,no
ID,1984,7768,242,NA,no,no,no,no,10780,32.3633194,no
ID,1985,7710,255,0.234999999,no,no,no,no,11331,32.60077667,no
ID,1986,7781,258,0.270000011,no,no,no,no,11663,32.86223221,secondary
ID,1987,8119,260,0.319999993,yes,no,yes,no,12265,33.19096375,secondary
ID,1988,8127,257,0.340000004,yes,no,yes,no,13108,33.48856354,secondary
ID,1989,8422,238,0.330000013,yes,no,yes,no,14283,33.70093536,secondary
ID,1990,9849,244,0.349999994,yes,no,yes,no,15346,33.76304626,secondary
ID,1991,10318,264,0.460000008,yes,no,yes,no,15664,33.91727829,secondary
ID,1992,10764,243,0.529999971,yes,no,yes,no,16607,33.994133,secondary
ID,1993,11481,230,0.589999974,yes,no,yes,no,17699,34.04111481,secondary
ID,1994,11652,250,0.540000021,yes,no,yes,no,18186,34.06496048,secondary
ID,1995,12296,262,0.5,yes,yes,yes,no,18961,34.20653534,secondary
ID,1996,12961,258,0.5,yes,yes,yes,no,19741,34.35408401,secondary
ID,1997,12880,259,0.49000001,yes,yes,yes,yes,20392,34.50406265,secondary
IL,1983,67370,1526,NA,no,no,yes,no,13180,34.36076736,no
IL,1984,69910,1547,NA,no,no,yes,no,14547,34.46930313,no
IL,1985,70844,1534,0.158999994,no,no,yes,no,15322,34.60091782,no
IL,1986,74144,1596,0.362000018,no,no,yes,no,16106,34.71235657,secondary
IL,1987,75756,1654,0.372999996,yes,no,yes,no,17066,34.87645721,secondary
IL,1988,78483,1837,0.395000011,yes,no,yes,no,18212,35.0331192,secondary
IL,1989,81297,1748,0.400000006,yes,no,yes,no,19427,35.15080261,secondary
IL,1990,83334,1589,0.470999986,yes,no,yes,no,20494,35.42041397,secondary
IL,1991,85430,1448,0.504000008,yes,no,yes,no,20966,35.41954422,secondary
IL,1992,87642,1384,0.639999986,yes,no,yes,no,22209,35.51555252,secondary
IL,1993,89693,1392,0.670000017,yes,no,yes,no,22895,35.59360886,secondary
IL,1994,92316,1554,0.683000028,yes,no,yes,no,23956,35.62672806,secondary
IL,1995,94189,1586,0.686999977,yes,no,yes,no,25135,35.67132187,secondary
IL,1996,96730,1477,0.639999986,yes,no,yes,no,26393,35.72410965,secondary
IL,1997,99319,1397,0.64199996,yes,no,yes,yes,27688,35.7832222,secondary
IN,1983,39837,1016,NA,no,no,yes,no,11001,34.07998276,no
IN,1984,41074,925,NA,no,no,yes,no,12199,34.29331589,no
IN,1985,40782,974,NA,no,no,yes,no,12844,34.49176407,no
IN,1986,40780,1038,0.19600001,no,no,yes,no,13513,34.69554901,no
IN,1987,44122,1055,0.367000014,yes,no,yes,no,14324,34.89601517,secondary
IN,1988,51124,1099,0.440999985,yes,no,yes,no,15231,35.06287003,secondary
IN,1989,56192,971,0.460999995,yes,no,yes,no,16296,35.15726852,secondary
IN,1990,53697,1049,0.47299999,yes,no,yes,no,17167,35.4417038,secondary
IN,1991,54266,1022,0.519999981,yes,no,yes,no,17624,35.49770355,secondary
IN,1992,57072,901,0.560000002,yes,no,yes,no,18763,35.6531868,secondary
IN,1993,60461,901,0.560000002,yes,no,yes,no,19649,35.76839828,secondary
IN,1994,62108,971,0.560000002,yes,no,yes,no,20734,35.83475494,secondary
IN,1995,64552,960,0.639999986,yes,no,yes,no,21427,35.93618393,secondary
IN,1996,66220,984,0.620000005,yes,no,yes,no,22234,36.06284714,secondary
IN,1997,68620,935,0.629999995,yes,no,yes,no,23202,36.10934067,secondary
KS,1983,18153,411,NA,no,no,no,no,12273,34.97045135,no
KS,1984,18717,510,NA,no,no,no,no,13421,35.08153534,no
KS,1985,19275,486,0.098999999,no,no,yes,no,14121,35.14977264,no
KS,1986,19826,500,0.236000001,no,no,yes,no,14703,35.29528046,secondary
KS,1987,20561,491,0.422999978,yes,no,yes,no,15327,35.36159134,secondary
KS,1988,21161,483,0.481999993,yes,no,yes,no,16040,35.44693375,secondary
KS,1989,21913,428,0.519999981,yes,no,yes,no,16802,35.47808075,secondary
KS,1990,22849,444,0.578000009,yes,no,yes,no,17940,35.59708023,secondary
KS,1991,23186,409,0.63499999,yes,no,yes,no,18492,35.60046768,secondary
KS,1992,24163,387,0.703000009,yes,no,yes,no,19447,35.71392059,secondary
KS,1993,24115,428,0.699999988,yes,no,yes,yes,20048,35.79610062,secondary
KS,1994,24678,442,0.699999988,yes,no,yes,yes,20638,35.86905289,secondary
